Name,Team,Age,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,SO,HBP,SF,SH,GDP,SB,CS,AVG,NameASCII,PlayerId,MLBAMID
"Matthew Sutera","WAG",19,48,162,180,49,29,15,2,3,37,36,17,52,1,0,0,2,8,2,0.302469135,"Matthew Sutera","sa3060698",
"Tyler Minnick","MTSU",20,55,205,243,62,41,12,0,9,38,41,24,27,9,5,0,6,1,3,0.302439024,"Tyler Minnick","sa3038133",
"Reese Beheler","LAM",21,48,172,209,52,41,7,0,4,27,30,26,37,10,1,0,2,2,0,0.302325581,"Reese Beheler","sa3026878",
"Cole Campbell","NJIT",,53,215,248,65,50,10,3,2,42,24,29,28,2,1,1,2,17,0,0.302325581,"Cole Campbell","sa3028323",
"Adam Haber","WOF",22,46,129,155,39,35,4,0,0,21,15,19,22,2,2,3,2,13,0,0.302325581,"Adam Haber","sa3032918",
"Carmelo Musacchia","NE",21,55,215,244,65,42,14,3,6,50,35,14,49,10,2,3,4,28,6,0.302325581,"Carmelo Musacchia","sa3038619",
"Wilbert Espinal","ALST",,51,172,214,52,33,11,0,8,40,38,34,35,6,2,0,4,5,0,0.302325581,"Wilbert Espinal","sa3059141",
"Michael Maginnis","GAST",22,54,225,260,68,41,16,1,10,47,52,26,34,6,3,0,8,18,3,0.302222222,"Michael Maginnis","sa3036853",
"Ben Cleary","SCU",,49,182,219,55,41,12,0,2,37,16,26,15,7,2,2,4,5,2,0.302197802,"Ben Cleary","sa3029013",
"Ben Slanker","OHIO",20,50,182,239,55,23,9,2,21,43,69,41,38,4,10,2,2,3,0,0.302197802,"Ben Slanker","sa3042415",
"Jack Herring","ECU",23,51,139,163,42,31,6,0,5,20,28,17,20,4,1,2,1,3,0,0.302158273,"Jack Herring","sa3059483",
"Caleb Stelly","UL",21,57,202,246,61,41,10,2,8,40,33,26,45,14,2,2,3,11,4,0.301980198,"Caleb Stelly","sa3043028",
"Jaden Bastian","JAX",,55,212,261,64,38,10,5,11,60,33,39,49,10,0,0,1,36,4,0.301886792,"Jaden Bastian","sa3026698",
"Abbrie Covarrubias","USC",,58,212,246,64,48,11,2,3,39,32,25,43,6,3,0,3,15,4,0.301886792,"Abbrie Covarrubias","sa3029476",
"Cameron Gurney","UTAH",,31,106,126,32,24,6,2,0,19,24,11,19,4,2,3,4,3,1,0.301886792,"Cameron Gurney","sa3032862",
"Matthew Dieguez","FOR",20,58,222,252,67,51,13,0,3,33,46,19,45,8,2,1,7,14,9,0.301801801,"Matthew Dieguez","sa3030299",
"Jaxon Willits","OU",20,60,222,270,67,45,10,3,9,56,48,39,51,4,4,1,5,14,1,0.301801801,"Jaxon Willits","sa3045313",
"JP Gauthier","NIU",22,50,169,194,51,23,17,0,11,34,49,15,53,10,0,0,2,3,2,0.301775147,"JP Gauthier","sa3032063",
"Pauly Mancino","OHIO",20,32,116,138,35,24,8,2,1,24,22,15,33,4,2,1,0,7,1,0.301724137,"Pauly Mancino","sa3036952",
"Brock Watkins","BYU",25,48,179,204,54,35,8,0,11,30,39,17,57,4,3,1,0,1,1,0.301675977,"Brock Watkins","sa3044845",
"Keaton Cottam","APSU",20,22,63,82,19,18,0,0,1,20,10,9,14,2,1,7,0,4,0,0.301587301,"Keaton Cottam","sa3029449",
"Conner Spelman","JAX",,22,63,75,19,15,1,0,3,8,8,9,16,2,1,0,1,0,0,0.301587301,"Conner Spelman","sa3042821",
"Levi Randall","UTU",,46,136,161,41,33,7,1,0,28,10,14,33,4,0,7,0,13,5,0.301470588,"Levi Randall","sa3040444",
"Jonathan Trejo","TXSO",,47,136,166,41,33,7,0,1,29,29,21,13,3,4,2,8,7,2,0.301470588,"Jonathan Trejo","sa3044030",
"Charlie Parcell","NIU",,54,209,253,63,43,14,1,5,61,28,25,25,16,0,3,1,13,1,0.301435406,"Charlie Parcell","sa3039422",
"Anthony Brotz","MRST",,54,219,259,66,59,5,2,0,41,32,24,17,9,1,6,3,16,3,0.301369863,"Anthony Brotz","sa3058736",
"Jackson Smith","BRAD",,38,146,174,44,32,8,1,3,31,21,19,37,6,0,3,0,10,0,0.301369863,"Jackson Smith","sa3060615",
"Justin Hausser","MILW",22,57,229,261,69,41,20,2,6,46,40,22,40,4,5,1,4,6,0,0.301310043,"Justin Hausser","sa3033410",
"Andrew Kirchner","CSUF",,56,239,267,72,42,16,2,12,38,70,19,70,3,4,2,7,2,2,0.30125523,"Andrew Kirchner","sa3035437",
"William Parker","ARMY",,41,166,192,50,29,15,0,6,37,40,18,37,7,1,0,3,11,4,0.301204819,"William Parker","sa3039471",
"Cooper Vance","EMU",21,52,186,219,56,35,14,1,6,46,30,18,34,13,1,1,1,6,1,0.301075268,"Cooper Vance","sa3044321",
"Parker Brzustewicz","ND",20,51,186,227,56,45,9,2,0,31,36,32,32,5,1,3,6,0,2,0.301075268,"Parker Brzustewicz","sa3058761",
"Tristan Moore","UNO",23,53,196,231,59,29,14,2,14,42,56,22,41,9,4,0,1,3,5,0.301020408,"Tristan Moore","sa3038315",
"Blake Bevis","BALL",,57,226,252,68,35,13,2,18,49,52,18,52,7,1,0,4,2,1,0.300884955,"Blake Bevis","sa3027110",
"Eddie Leon","MRSH",,59,226,251,68,43,18,0,7,36,41,16,62,3,2,4,1,9,5,0.300884955,"Eddie Leon","sa3036219",
"Boston Vest","NMSU",,36,113,138,34,28,0,2,4,17,15,19,24,5,1,0,4,1,0,0.300884955,"Boston Vest","sa3060840",
"Luke Parmentier","ALST",,36,113,149,34,24,4,1,5,35,19,21,34,10,1,4,1,1,0,0.300884955,"Luke Parmentier","sa3065106",
"Luke Heyman","FLA",21,49,173,204,52,31,7,1,13,37,44,22,38,7,2,0,3,0,1,0.300578034,"Luke Heyman","sa3033754",
"Bo Yaworski","CCSU",21,46,173,208,52,31,13,6,2,30,45,23,18,3,6,3,2,5,1,0.300578034,"Bo Yaworski","sa3045692",
"Nathan Beckley","YSU",,53,173,209,52,32,15,1,4,31,42,23,46,8,4,1,5,6,3,0.300578034,"Nathan Beckley","sa3058595",
"Braden Calise","UCF",22,50,183,223,55,49,6,0,0,34,29,28,23,5,1,6,5,7,2,0.300546448,"Braden Calise","sa3028269",
"Brayden Kuriger","YSU",21,50,183,213,55,33,10,4,8,33,43,22,49,5,3,0,0,12,2,0.300546448,"Brayden Kuriger","sa3035792",
"Daniel Contreras","ILST",22,53,193,228,58,50,7,0,1,33,38,23,21,7,3,2,0,0,0,0.300518134,"Daniel Contreras","sa3029285",
"Dylan Nevar","WMU",,50,193,228,58,33,13,3,9,32,49,25,42,7,3,0,0,2,2,0.300518134,"Dylan Nevar","sa3038793",
"Jimmy Nati","STAN",21,52,203,229,61,36,9,0,16,45,50,15,48,8,3,0,3,1,5,0.30049261,"Jimmy Nati","sa3038690",
"Jacob Orr","MD",,53,203,229,61,34,18,2,7,45,38,21,30,2,2,1,6,1,0,0.30049261,"Jacob Orr","sa3039202",
"Ben Rounds","DUKE",25,56,203,254,61,36,15,2,8,51,36,37,56,12,1,1,5,4,2,0.30049261,"Ben Rounds","sa3041207",
"Nate Savoie","LMU",,53,203,232,61,26,14,1,20,42,61,14,46,14,1,0,4,7,5,0.30049261,"Nate Savoie","sa3060500",
"Bub Terrell","AUB",,57,203,231,61,39,17,0,5,38,41,20,46,5,3,0,2,4,2,0.30049261,"Bub Terrell","sa3060731",
"Finley Bates","SDSU",,57,213,260,64,50,12,1,1,48,23,40,30,4,1,2,5,8,3,0.300469483,"Finley Bates","sa3026712",
"Steven Meier","TROY",,57,213,275,64,38,16,2,8,60,42,29,45,29,2,2,2,24,5,0.300469483,"Steven Meier","sa3037803",
"Peyton Bonds","RUTG",,57,223,258,67,50,10,2,5,49,40,21,45,11,3,0,1,16,2,0.30044843,"Peyton Bonds","sa3027364",
"Sean McCulloch","QUIN",,55,223,275,67,58,7,1,1,51,35,46,43,1,4,1,0,32,9,0.30044843,"Sean McCulloch","sa3059964",
"Kenny Dutka","HCU",23,57,243,273,73,56,13,3,1,43,25,23,55,4,0,3,0,11,6,0.300411522,"Kenny Dutka","sa3030701",
"Kyle Gibson","ILST",,56,243,279,73,66,5,2,0,42,28,32,31,1,1,2,4,7,4,0.300411522,"Kyle Gibson","sa3059294",
"Dalton Beck","LSU",,17,10,13,3,3,0,0,0,3,3,3,3,0,0,0,0,0,0,0.3,"Dalton Beck","sa3026832",
"Blake Brookins","FLA",,4,10,11,3,1,2,0,0,2,0,0,5,1,0,0,0,1,0,0.3,"Blake Brookins","sa3027746",
"MJ Castaneda","NKU",,10,10,12,3,2,0,0,1,2,4,1,4,1,0,0,0,0,0,0.3,"MJ Castaneda","sa3028603",
"Kyle Corso","COLU",22,30,20,27,6,3,1,1,1,10,6,6,5,0,1,0,0,1,0,0.3,"Kyle Corso","sa3029414",
"Andrew Lamb","USC",,34,110,126,33,16,10,2,5,28,17,12,29,1,1,2,5,0,1,0.3,"Andrew Lamb","sa3035867",
"Trey Lipsey","OSU",22,50,180,242,54,33,13,1,7,57,29,42,37,17,2,1,2,15,2,0.3,"Trey Lipsey","sa3036378",
"Brody McKenzie","URI",,48,120,178,36,26,8,1,1,44,22,27,30,21,0,10,0,20,2,0.3,"Brody McKenzie","sa3037657",
"Tracy Mitchem","TULN",,14,10,16,3,3,0,0,0,2,1,4,3,1,0,1,1,0,0,0.3,"Tracy Mitchem","sa3038177",
"David Novak","M-OH",,57,220,266,66,42,11,0,13,53,57,26,38,11,6,3,4,0,0,0.3,"David Novak","sa3038942",
"Antonio Perrotta","UVA",20,10,10,13,3,1,1,0,1,4,2,2,0,1,0,0,1,0,0,0.3,"Antonio Perrotta","sa3039743",
"Collin Reuter","MISS",22,26,40,47,12,7,2,0,3,9,6,5,13,2,0,0,1,0,0,0.3,"Collin Reuter","sa3040635",
"Matt Scannell","WAKE",23,59,210,266,63,38,11,2,12,55,49,39,42,12,1,4,1,7,0,0.3,"Matt Scannell","sa3041643",
"Nolan Schubart","OKST",21,55,200,250,60,32,9,0,19,54,57,48,61,1,1,0,2,2,1,0.3,"Nolan Schubart","sa3041794",
"Jack Smith","MRSH",21,6,10,12,3,3,0,0,0,2,2,1,4,1,0,0,0,0,0,0.3,"Jack Smith","sa3042575",
"Camden Troyer","LIB",,56,210,251,63,39,11,3,10,54,44,30,21,9,2,0,1,7,1,0.3,"Camden Troyer","sa3044088",
"Owen Walewander","LEH",21,45,140,170,42,30,9,0,3,25,27,18,29,8,1,3,0,3,0,0.3,"Owen Walewander","sa3044650",
"Graiden West","RICE",22,28,60,69,18,14,3,0,1,10,5,5,19,2,0,2,1,1,2,0.3,"Graiden West","sa3045031",
"Clayvonjae Wright","ALCN",,23,50,58,15,10,3,0,2,5,8,7,11,1,0,0,3,1,1,0.3,"Clayvonjae Wright","sa3045606",
"Justin Best","UNO",20,21,40,48,12,12,0,0,0,13,5,3,14,5,0,0,0,4,0,0.3,"Justin Best","sa3058635",
"AJ Groeneveld","EKU",,50,160,190,48,36,8,2,2,24,14,25,41,3,0,2,2,11,0,0.3,"AJ Groeneveld","sa3059367",
"Cody Nitowitz","PORT",20,50,160,194,48,42,5,1,0,42,12,29,29,5,0,0,1,4,4,0.3,"Cody Nitowitz","sa3060146",
"Jeremy Sangalang","SIE",22,54,210,255,63,46,17,0,0,45,23,29,33,12,0,4,4,10,1,0.3,"Jeremy Sangalang","sa3060485",
"Jase Woita","SC",,45,120,142,36,24,5,1,6,21,20,17,27,3,2,0,4,0,0,0.3,"Jase Woita","sa3060953",
"Clayton Pourciau","UL",,14,20,21,6,4,2,0,0,4,0,1,6,0,0,0,2,0,1,0.3,"Clayton Pourciau","sa3062667",
"Nick Biddle","HOF",,34,90,108,27,24,2,0,1,22,7,12,12,2,1,3,5,1,2,0.3,"Nick Biddle","sa3065505",
"Trey Callaway","MIZ",19,7,10,10,3,1,2,0,0,1,3,0,4,0,0,0,0,0,0,0.3,"Trey Callaway","sa3065509",
"Kieran Kehoe","JOES",,5,10,10,3,2,1,0,0,1,0,0,4,0,0,0,0,0,0,0.3,"Kieran Kehoe","sa3065816",
"Tyler Guerin","IOWA",19,20,10,11,3,2,1,0,0,1,3,1,2,0,0,0,0,0,0,0.3,"Tyler Guerin","sa3066030",
"Jimmy Chadwell","COLU",,8,10,11,3,2,1,0,0,4,2,0,2,1,0,0,0,0,0,0.3,"Jimmy Chadwell","sa3066178",
"Drew Cox","OHIO",,14,50,62,15,10,5,0,0,6,12,7,10,1,3,1,1,0,0,0.3,"Drew Cox","sa3067178",
"Marcerio Allen","GRAM",,8,20,29,6,4,2,0,0,7,3,4,2,3,0,2,0,1,1,0.3,"Marcerio Allen","sa3067276",
"Scott Newman","UPST",21,60,237,289,71,42,10,0,19,73,60,33,79,14,4,1,2,11,9,0.299578059,"Scott Newman","sa3060136",
"Cooper Blauser","JVST",22,61,217,278,65,37,20,4,4,52,44,43,55,11,4,3,6,25,4,0.29953917,"Cooper Blauser","sa3027252",
"Andrew Amato","DEL",,53,197,253,59,31,16,1,11,50,48,49,65,5,2,0,2,4,1,0.299492385,"Andrew Amato","sa3025991",
"Tripp Garrish","AFA",,54,187,235,56,34,16,1,5,30,35,41,68,6,1,0,1,9,3,0.29946524,"Tripp Garrish","sa3032007",
"Jake McCoy","SJSU",,53,187,205,56,36,8,3,9,31,39,11,48,6,1,0,3,0,0,0.29946524,"Jake McCoy","sa3062870",
"Michael Mylott","SIU",,49,177,210,53,33,8,0,12,34,41,13,30,12,7,1,2,0,0,0.299435028,"Michael Mylott","sa3038653",
"Kevin Denty","VAL",,49,167,201,50,36,9,1,4,23,31,23,37,10,0,1,4,6,3,0.299401197,"Kevin Denty","sa3030169",
"Joey Pagano","JOES",,46,167,199,50,37,5,1,7,36,32,28,33,2,2,0,1,2,0,0.299401197,"Joey Pagano","sa3060195",
"Cade Martin","LR",,50,167,197,50,34,11,0,5,31,31,28,42,1,1,0,3,1,3,0.299401197,"Cade Martin","sa3066329",
"Johnny Pilla","STBK",21,48,157,194,47,34,8,1,4,32,18,33,42,2,1,1,2,17,4,0.299363057,"Johnny Pilla","sa3039927",
"Justin Fogel","MEM",24,35,127,142,38,28,7,0,3,21,24,12,20,2,1,0,2,1,1,0.299212598,"Justin Fogel","sa3031504",
"Josh Pearson","LSU",22,52,127,168,38,24,7,0,7,37,32,21,23,14,3,3,0,5,0,0.299212598,"Josh Pearson","sa3039608",
"Ty Rhoades","LR",,60,244,269,73,50,13,1,9,48,44,17,56,7,0,1,2,4,0,0.299180327,"Ty Rhoades","sa3040668",
"AJ Jones","NCAT",23,33,117,137,35,21,9,2,3,28,23,15,24,4,1,0,2,4,3,0.299145299,"AJ Jones","sa3034835",
"Jake Mcghee","EVAN",19,35,117,141,35,26,7,1,1,15,10,19,24,1,1,3,3,1,1,0.299145299,"Jake Mcghee","sa3065566",
"Mason Dobie","DAY",23,57,204,256,61,45,8,0,8,44,39,46,26,3,2,1,4,6,4,0.299019607,"Mason Dobie","sa3030398",
"Carlos Martinez","UML",,51,204,220,61,42,12,1,6,30,27,14,36,2,0,0,1,1,1,0.299019607,"Carlos Martinez","sa3037142",
"Darryl Lee","BCU",,57,204,255,61,34,13,5,9,49,46,34,59,13,2,2,4,23,6,0.299019607,"Darryl Lee","sa3059776",
"Tyler Bishop","OMA",22,50,194,229,58,39,10,0,9,42,51,20,43,9,6,0,6,2,4,0.298969072,"Tyler Bishop","sa3027180",
"Dylan Robertson","MOST",23,38,97,115,29,21,4,0,4,19,23,13,14,0,4,1,2,2,0,0.298969072,"Dylan Robertson","sa3040878",
"Tyler Sorrentino","COFC",22,35,97,117,29,19,8,1,1,20,18,13,18,4,2,1,4,8,1,0.298969072,"Tyler Sorrentino","sa3042758",
"Griffin Myers","WSU",,37,87,98,26,20,6,0,0,10,14,7,17,3,1,0,4,0,0,0.298850574,"Griffin Myers","sa3038638",
"Kaden Peer","MIZ",,47,164,204,49,36,7,1,5,34,33,16,47,18,4,2,1,13,3,0.298780487,"Kaden Peer","sa3039631",
"Jake Wrubleski","GONZ",,24,77,86,23,16,5,0,2,13,13,5,26,2,2,0,0,1,1,0.298701298,"Jake Wrubleski","sa3066870",
"Tracer Lopez","TTU",21,53,221,243,66,52,9,0,5,34,30,18,36,2,0,2,2,12,1,0.298642533,"Tracer Lopez","sa3036555",
"Dixon Williams","ECU",,62,221,291,66,38,12,2,14,61,51,49,47,15,3,3,2,22,3,0.298642533,"Dixon Williams","sa3045282",
"Jayden Williams","PV",,44,144,184,43,33,5,2,3,39,16,27,38,4,2,7,1,19,2,0.298611111,"Jayden Williams","sa3045304",
"Eddy Pelc","GCU",24,58,211,268,63,30,14,2,17,51,58,40,47,13,4,0,6,14,0,0.298578199,"Eddy Pelc","sa3039643",
"Gavin Bogdanchik","CHSO",22,30,67,73,20,12,3,0,5,13,16,3,8,2,1,0,1,2,0,0.298507462,"Gavin Bogdanchik","sa3027319",
"Jonathan Xuereb","APP",21,18,67,72,20,11,8,0,1,9,10,4,17,1,0,0,3,0,0,0.298507462,"Jonathan Xuereb","sa3045660",
"Edwin Betances","LEH",,27,67,82,20,14,5,0,1,9,17,10,18,4,0,1,0,1,0,0.298507462,"Edwin Betances","sa3058636",
"Ty Davis","BALL",,45,134,159,40,21,6,1,12,31,31,15,42,6,4,0,0,0,0,0.298507462,"Ty Davis","sa3059007",
"Miles Risley","IOWA",,56,201,251,60,44,8,2,6,46,45,29,32,16,3,2,0,7,1,0.298507462,"Miles Risley","sa3060375",
"Owen Carapellotti","GTWN",22,51,191,229,57,31,11,1,14,45,48,29,28,7,2,0,2,5,0,0.298429319,"Owen Carapellotti","sa3028401",
"Kevin Hall","PFW",20,51,181,211,54,39,8,2,5,28,28,20,32,2,6,2,2,9,6,0.298342541,"Kevin Hall","sa3033035",
"Ryan Peterson","VMI",22,53,171,227,51,31,14,3,3,24,45,27,38,22,2,5,1,6,4,0.298245614,"Ryan Peterson","sa3039798",
"Ethan Adkisson","SFA",,32,114,124,34,29,5,0,0,11,17,6,2,1,2,1,4,1,0,0.298245614,"Ethan Adkisson","sa3058464",
"Alex Barrist","LAF",,47,171,204,51,37,7,5,2,30,31,15,31,4,2,12,4,4,0,0.298245614,"Alex Barrist","sa3058561",
"Jalen Fithian","UTM",,53,218,255,65,45,16,1,3,41,20,24,32,9,3,1,4,37,5,0.298165137,"Jalen Fithian","sa3031393",
"Demarckus Smiley","ALST",,43,161,184,48,36,11,0,1,27,31,18,30,4,1,0,6,0,0,0.298136645,"Demarckus Smiley","sa3042463",
"Anthony Brienza","SJU",24,32,104,131,31,27,3,1,0,20,10,13,22,8,0,6,2,5,1,0.298076923,"Anthony Brienza","sa3027687",
"Seth Cox","MEM",,42,104,129,31,21,6,0,4,21,18,18,23,6,1,0,0,2,0,0.298076923,"Seth Cox","sa3029498",
"Jarren Purify","CLEM",19,57,208,264,62,43,10,3,6,54,35,32,65,14,5,5,3,29,4,0.298076923,"Jarren Purify","sa3040292",
"Nick Mascaro","CSUB",21,56,208,247,62,41,13,1,7,33,26,32,82,3,0,4,1,7,1,0.298076923,"Nick Mascaro","sa3059942",
"Noah Quarless","WCU",,36,104,123,31,19,6,0,6,20,21,13,24,5,0,1,0,2,0,0.298076923,"Noah Quarless","sa3060320",
"Ty Dooley","CCU",22,49,151,204,45,30,9,0,6,42,36,24,41,17,2,10,1,5,3,0.298013245,"Ty Dooley","sa3030473",
"Judah Morris","ILST",23,56,198,262,59,24,16,0,19,56,50,51,45,12,1,0,5,3,0,0.297979797,"Judah Morris","sa3038410",
"Damon Gaither","ME",,33,94,113,28,17,5,0,6,19,25,11,30,6,1,1,3,0,1,0.29787234,"Damon Gaither","sa3031830",
"Sammy Harris","LR",,50,141,168,42,28,11,0,3,31,22,16,27,8,0,3,2,3,2,0.29787234,"Sammy Harris","sa3059421",
"Karsen Waslefsky","UNM",,45,141,159,42,30,6,1,5,32,31,14,24,2,1,1,0,3,3,0.29787234,"Karsen Waslefsky","sa3060875",
"Benny Hernandez","MVSU",,38,131,146,39,23,7,0,9,21,34,14,35,1,0,0,3,3,0,0.297709923,"Benny Hernandez","sa3033669",
"DJ Ghiorso","LMU",22,38,131,172,39,27,8,0,4,34,31,27,23,10,3,1,2,14,3,0.297709923,"DJ Ghiorso","sa3059291",
"Carter Murphy","USF",,30,84,98,25,19,3,1,2,13,13,7,22,4,1,2,1,0,1,0.297619047,"Carter Murphy","sa3038575",
"Jesse Jaconski","PSU",,55,205,235,61,34,14,1,12,40,54,20,46,5,4,1,3,7,4,0.297560975,"Jesse Jaconski","sa3034538",
"Brett Stanley","EIU",22,53,205,261,61,45,12,1,3,49,34,36,37,3,6,11,4,28,2,0.297560975,"Brett Stanley","sa3042940",
"Ben Vujovich","STMN",22,50,195,219,58,38,11,1,8,46,39,18,37,2,1,3,4,12,6,0.297435897,"Ben Vujovich","sa3044592",
"Jake Bullard","UNCO",22,44,148,186,44,35,4,2,3,30,23,25,41,8,4,1,7,2,0,0.297297297,"Jake Bullard","sa3027997",
"Zach Henderson","INST",,19,37,44,11,7,3,1,0,7,2,6,8,1,0,0,0,3,0,0.297297297,"Zach Henderson","sa3059465",
"Anthony Sanguedolce","CHSO",,14,37,51,11,7,3,1,0,17,13,11,4,2,0,1,1,9,1,0.297297297,"Anthony Sanguedolce","sa3060486",
"Sawyer Black","UNC",,16,37,46,11,7,1,0,3,7,6,5,14,2,0,2,0,1,0,0.297297297,"Sawyer Black","sa3066040",
"Colin Brueggemann","OKST",22,55,212,242,63,36,11,1,15,38,54,24,75,4,2,0,3,0,0,0.297169811,"Colin Brueggemann","sa3027893",
"Bryan Loriga","UNO",,52,212,234,63,39,16,0,8,33,37,18,41,1,3,0,6,0,0,0.297169811,"Bryan Loriga","sa3036572",
"Jake Radosevich","LIN",,54,212,238,63,39,14,0,10,29,48,22,48,2,2,0,4,0,0,0.297169811,"Jake Radosevich","sa3060328",
"Juan De la Cruz","STET",,54,175,222,52,42,5,1,4,45,37,33,34,4,5,5,3,28,10,0.297142857,"Juan De la Cruz","sa3030047",
"Casey Kleinman","VCU",,42,138,180,41,33,6,0,2,38,20,29,4,3,2,8,4,5,2,0.297101449,"Casey Kleinman","sa3035485",
"Skylar King","WVU",21,58,202,254,60,46,9,2,3,42,32,29,29,16,2,5,0,13,10,0.297029702,"Skylar King","sa3035415",
"JT Taylor","NCAT",20,51,202,223,60,32,14,3,11,38,40,15,61,1,3,2,4,6,1,0.297029702,"JT Taylor","sa3043574",
"Caleb Berry","MSU",23,45,165,191,49,33,10,0,6,33,34,14,27,8,2,2,1,5,3,0.296969696,"Caleb Berry","sa3058633",
"John Hale","EMU",,45,165,203,49,36,9,0,4,33,32,21,30,13,2,2,1,10,7,0.296969696,"John Hale","sa3059390",
"Jamie Palmese","ETSU",21,58,229,266,68,36,13,2,17,58,51,30,53,5,1,1,1,15,1,0.296943231,"Jamie Palmese","sa3039381",
"Tyson Bass","UNC",22,60,229,269,68,46,10,1,11,48,47,34,72,5,0,1,3,12,2,0.296943231,"Tyson Bass","sa3058571",
"Ryan Howe","UMES",,36,128,142,38,29,4,1,4,21,19,8,31,3,2,1,1,4,0,0.296875,"Ryan Howe","sa3034177",
"Benjamin Greer","ACU",23,56,219,260,65,32,20,7,6,55,43,34,55,1,5,1,2,24,5,0.296803652,"Benjamin Greer","sa3032676",
"Jhonkeanu Perez","RAD",,53,219,256,65,44,15,4,2,45,25,17,46,15,4,1,3,13,2,0.296803652,"Jhonkeanu Perez","sa3039715",
"Joey Brenczewski","IU",21,38,91,118,27,20,4,0,3,25,24,15,24,9,2,1,0,2,0,0.296703296,"Joey Brenczewski","sa3027645",
"Phillips Daniels","CIT",,57,182,242,54,35,16,1,2,43,25,31,29,20,1,8,3,6,6,0.296703296,"Phillips Daniels","sa3029828",
"Tyler Kipp","FAIR",,58,209,258,62,50,7,2,3,38,42,37,35,4,7,1,2,2,1,0.296650717,"Tyler Kipp","sa3035432",
"Tyler Smith","SPU",22,42,118,152,35,20,6,0,9,23,40,22,23,6,5,1,1,1,0,0.296610169,"Tyler Smith","sa3042652",
"Tate Vogler","COLU",,40,118,136,35,19,13,0,3,27,20,16,36,1,1,0,0,2,0,0.296610169,"Tate Vogler","sa3065442",
"Braden Benton","NWST",,51,145,201,43,23,10,0,10,32,42,46,36,6,4,0,2,0,0,0.296551724,"Braden Benton","sa3026995",
"Sam Biller","CONN",,58,199,249,59,32,14,0,13,48,60,25,38,19,5,1,1,23,6,0.296482412,"Sam Biller","sa3027153",
"Jeremy Wolf","UNCG",21,52,199,235,59,36,18,2,3,38,23,21,36,8,3,4,3,16,6,0.296482412,"Jeremy Wolf","sa3045511",
"Jack Winnay","WAKE",,60,226,282,67,37,13,2,15,55,65,36,48,14,5,1,5,7,0,0.296460176,"Jack Winnay","sa3045455",
"Tyler Bell","UK",,56,226,265,67,38,17,2,10,51,46,24,59,11,4,0,3,11,5,0.296460176,"Tyler Bell","sa3058609",
"Sean Camacho","SIE",,25,54,69,16,14,1,0,1,10,7,12,7,0,1,2,0,5,2,0.296296296,"Sean Camacho","sa3028296",
"Kishon Frett","FIU",,57,216,269,64,33,8,3,20,59,44,27,74,25,1,0,0,7,2,0.296296296,"Kishon Frett","sa3031712",
"Conor Kelly","UML",22,38,135,161,40,30,10,0,0,13,14,20,27,4,2,0,0,9,2,0.296296296,"Conor Kelly","sa3035210",
"Tim McGuire","SHU",23,49,162,212,48,38,8,1,1,30,34,32,29,7,2,9,6,5,2,0.296296296,"Tim McGuire","sa3037623",
"Connor Schneider","MCN",,23,54,62,16,11,5,0,0,13,6,5,9,1,1,1,0,2,0,0.296296296,"Connor Schneider","sa3041741",
"Max Soliz Jr.","KU",23,13,27,34,8,6,1,0,1,7,3,4,12,2,1,0,0,0,0,0.296296296,"Max Soliz Jr.","sa3042725",
"Jared Zimbardo","ND",,42,162,192,48,38,7,0,3,26,14,18,48,10,0,2,2,10,3,0.296296296,"Jared Zimbardo","sa3045860",
"Bryce Benton","JKST",,12,27,34,8,6,2,0,0,6,4,3,5,4,0,0,0,1,0,0.296296296,"Bryce Benton","sa3058624",
"Matthew Delgado","UNA",22,53,189,231,56,39,9,1,7,31,33,35,26,2,5,0,6,2,0,0.296296296,"Matthew Delgado","sa3059029",
"Santino Harwood","DSU",,16,54,63,16,13,3,0,0,9,10,6,9,1,2,0,0,7,1,0.296296296,"Santino Harwood","sa3059429",
"Evan Joubert","TXSO",,45,135,165,40,24,9,1,6,30,34,22,42,6,1,1,0,7,2,0.296296296,"Evan Joubert","sa3059633",
"Mason Kirk","TAR",,17,27,33,8,7,1,0,0,6,4,5,11,1,0,0,1,1,1,0.296296296,"Mason Kirk","sa3059689",
"Sam Hardcastle","ACU",,47,162,185,48,36,8,0,4,33,25,15,28,8,0,0,4,2,0,0.296296296,"Sam Hardcastle","sa3062610",
"Patrick Sullivan","MERC",,12,27,30,8,6,1,0,1,2,3,3,11,0,0,0,0,0,0,0.296296296,"Patrick Sullivan","sa3065144",
"Caden Bogenpohl","MOST",,54,206,265,61,33,15,0,13,61,44,55,63,3,1,0,2,8,3,0.296116504,"Caden Bogenpohl","sa3027320",
"Sam Parks","STO",,52,179,259,53,40,6,3,4,53,32,55,24,9,4,12,0,10,4,0.296089385,"Sam Parks","sa3039485",
"Grant MacArthur","CONN",20,54,179,235,53,33,10,0,10,39,45,38,41,14,4,0,1,2,2,0.296089385,"Grant MacArthur","sa3059880",
"Trey Cruz","AMCC",23,43,152,167,45,29,8,2,6,26,23,13,28,0,1,1,3,2,3,0.296052631,"Trey Cruz","sa3029644",
"Levi Clark","TENN",,50,125,169,37,18,9,0,10,30,34,35,37,7,2,0,2,1,0,0.296,"Levi Clark","sa3058878",
